id,icon_link,name
282,https://cdn-icons-png.flaticon.com/128/3048/3048356.png,Dancing
283,https://cdn-icons-png.flaticon.com/128/6705/6705286.png,Debate
284,https://cdn-icons-png.flaticon.com/128/891/891970.png,Dominoes
285,https://cdn-icons-png.flaticon.com/128/3475/3475150.png,Eating
286,https://cdn-icons-png.flaticon.com/128/8037/8037151.png,Esports
287,https://cdn-icons-png.flaticon.com/128/2194/2194871.png,Fencing
288,https://cdn-icons-png.flaticon.com/128/619/619307.png,Figure Skating
289,https://cdn-icons-png.flaticon.com/128/5486/5486216.png,Go
290,https://cdn-icons-png.flaticon.com/128/4357/4357794.png,Ice hockey
291,https://cdn-icons-png.flaticon.com/128/15793/15793023.png,Ice skating
292,https://cdn-icons-png.flaticon.com/128/16272/16272307.png,Judo
293,https://cdn-icons-png.flaticon.com/128/14871/14871634.png,Jujitsu
294,https://cdn-icons-png.flaticon.com/128/11171/11171413.png,Kabaddi
295,,Knowledge/word games
296,https://cdn-icons-png.flaticon.com/128/6629/6629713.png,Laser tag
297,https://cdn-icons-png.flaticon.com/128/3204/3204021.png,Magic
298,https://cdn-icons-png.flaticon.com/128/594/594685.png,Mahjong
299,https://cdn-icons-png.flaticon.com/128/13470/13470581.png,Marbles
300,https://cdn-icons-png.flaticon.com/128/4515/4515602.png,Model racing
301,,Model United Nations
302,https://cdn-icons-png.flaticon.com/128/7960/7960355.png,Pinball
303,https://cdn-icons-png.flaticon.com/128/5537/5537635.png,Poker
304,https://cdn-icons-png.flaticon.com/128/10626/10626430.png,Pole dancing
305,https://cdn-icons-png.flaticon.com/128/1925/1925823.png,Pool
306,https://cdn-icons-png.flaticon.com/128/14480/14480458.png,Role-playing games
307,,Rughooking
308,https://cdn-icons-png.flaticon.com/128/6920/6920175.png,Shogi
309,,Slot car racing
310,,Speedcubing
311,https://cdn-icons-png.flaticon.com/128/3266/3266894.png,Sport stacking
312,https://cdn-icons-png.flaticon.com/128/5222/5222509.png,Table football
313,,Table tennis
314,https://cdn-icons-png.flaticon.com/128/808/808439.png,Video gaming
315,https://cdn-icons-png.flaticon.com/128/1509/1509638.png,VR gaming
316,https://cdn-icons-png.flaticon.com/128/1296/1296839.png,Weightlifting
317,https://cdn-icons-png.flaticon.com/128/4658/4658048.png,Wrestling
318,https://cdn-icons-png.flaticon.com/128/11844/11844457.png,Association football
319,https://cdn-icons-png.flaticon.com/128/18813/18813251.png,Australian rules football
320,https://cdn-icons-png.flaticon.com/128/3295/3295243.png,Auto racing
321,https://cdn-icons-png.flaticon.com/128/7439/7439270.png,Beach volleyball
322,https://cdn-icons-png.flaticon.com/128/17957/17957994.png,Breakdancing
323,https://cdn-icons-png.flaticon.com/128/2534/2534356.png,capoeira
324,https://cdn-icons-png.flaticon.com/128/3990/3990205.png,Cornhole
325,https://cdn-icons-png.flaticon.com/128/1099/1099680.png,Cricket
326,https://cdn-icons-png.flaticon.com/128/820/820023.png,Disc golf
327,https://cdn-icons-png.flaticon.com/128/2219/2219856.png,Dog sport
328,https://cdn-icons-png.flaticon.com/128/15179/15179998.png,Equestrianism
329,,Exhibition drill
330,https://cdn-icons-png.flaticon.com/128/2461/2461430.png,Field hockey
331,https://cdn-icons-png.flaticon.com/128/1218/1218260.png,Figure skating
332,https://cdn-icons-png.flaticon.com/128/1719/1719714.png,Fitness
333,https://cdn-icons-png.flaticon.com/128/5921/5921473.png,Footbag
334,https://cdn-icons-png.flaticon.com/128/4598/4598450.png,Frisbee
335,https://cdn-icons-png.flaticon.com/128/14676/14676682.png,Rugby league football
336,https://cdn-icons-png.flaticon.com/128/3553/3553209.png,Shooting sports
337,,Sled dog racing
338,https://cdn-icons-png.flaticon.com/128/6703/6703339.png,Softball
339,https://cdn-icons-png.flaticon.com/128/3005/3005938.png,Speed skating
340,https://cdn-icons-png.flaticon.com/128/2265/2265136.png,Squash
341,https://cdn-icons-png.flaticon.com/128/13715/13715209.png,Tennis polo
342,,Tether car
343,https://cdn-icons-png.flaticon.com/128/13253/13253471.png,Tour skating
344,,Trapshooting
345,https://cdn-icons-png.flaticon.com/128/3344/3344156.png,Triathlon
346,https://cdn-icons-png.flaticon.com/128/17153/17153484.png,Ultimate frisbee
347,https://cdn-icons-png.flaticon.com/128/7413/7413401.png,Water polo
348,https://cdn-icons-png.flaticon.com/128/2514/2514078.png,Golfing
349,https://cdn-icons-png.flaticon.com/128/9537/9537923.png,Horsemanship
350,https://cdn-icons-png.flaticon.com/128/3639/3639297.png,Horseshoes
351,,Iceboat racing
352,,Jukskei
353,https://cdn-icons-png.flaticon.com/128/1506/1506345.png,Kart racing
354,https://cdn-icons-png.flaticon.com/128/2788/2788740.png,Knife throwing
355,https://cdn-icons-png.flaticon.com/128/3343/3343559.png,Long-distance running
356,https://cdn-icons-png.flaticon.com/128/11622/11622321.png,Marching band
357,https://cdn-icons-png.flaticon.com/128/586/586515.png,Mini Golf
358,https://cdn-icons-png.flaticon.com/128/2306/2306651.png,Model aircraft
359,https://cdn-icons-png.flaticon.com/128/9223/9223702.png,Powerboat racing
360,,Quidditch
361,https://cdn-icons-png.flaticon.com/128/13265/13265970.png,Race walking
362,https://cdn-icons-png.flaticon.com/128/8526/8526597.png,Racquetball
363,https://cdn-icons-png.flaticon.com/128/6173/6173474.png,Radio-controlled car racing
364,https://cdn-icons-png.flaticon.com/128/14108/14108271.png,Roller derby
365,https://cdn-icons-png.flaticon.com/128/12889/12889532.png,Audiophile
366,https://cdn-icons-png.flaticon.com/128/6485/6485651.png,Ant farming
